ACCA,Accrued Capitalisation
OTHR,Other Amount
OVEP,Maximum Allowed Oversubscription Rate
OWND,Beneficial Owners' ID
OWNF,Ownership Flag
OWNT,Type of Ownership Indicator
PACK,Acknowledgement Reason
PACO,Party Contact Narrative
PADI,Payment Direction Indicator
PAFI,Quantity of Financial Instrument Partially Filled
PAIR,Quantity of Financial Instrument to be Paired-off
PAMM,Paying/Sub-paying Agent Commission
PARL,Parallel Trading Period
PARS,Partial Settlement Indicator
PART,Party Narrative
PAYA,Paying Agent
PAYD,Payment Date
PAYE,Paying Institution
PAYM,Payment Indicator
PAYS,Payment Status Indicator
PBOX,Post Box
PDIV,Partial Dividend Rate
PDMT,Pending delivery matched balance
PDUM,Pending delivery unmatched balance
PECA,Pending Corporate Action
PEDA,Pending Corporate Action Delivery
PEND,Pending Delivery
PENF,Pending/Failing Reason
PENR,Pending Receipt
PERM,Permanent Address
PEVA,Previous Market Price Value
PFRE,Payment Frequency
PLED,Pledged
PLIS,Place of Listing
PODT,Protect Date
POOL,Pool Number
PORT,Class of Portfolio/Fund Indicator
POST,Postage
PPDT,Pari Passu Date
PPRC,Pending Processing Reason
PRBN,Preferential Basket Identification Indicator
PRCO,Pre-Allocation Condition
PRCV,Previous Collateral Value
PREA,Preadvice Reference
PREC,Pre-Confirmation Indicator
PREF,Preference to Income
PREL,Pre-Release Details
PREP,Preparation Date/Time
PREQ,Pre-Release Quantity
PRER,Pre-Release Flag
PREV,Previous Reference
PREX,Previously Executed Quantity of Financial Instrument
PRFC,Previous Factor
PRHA,Pre-haircut Collateral Value
PRIC,Type of Price Indicator
PRIN,Principal or Corpus
PRIR,Priority Indicator
PRIT,Principal and Interest
PRMA,Premium Amount
PRMT,Pending receipt matched balance
PROC,Processing Indicator
PROD,Proration Date
PROG,Program Reference
PROR,Pro-Ration Rate
PRPP,Price per Product Paid
PRPR,Price per Product Received
PRSS,Process Indicator
PRUM,Pending receipt unmatched balance
PRWI,Partial Redemption Withholding Amount
PSET,Place of Settlement
PSTA,Posting Quantity
PSTT,Quantity of Financial Instrument Previously Settled
PTSC,Percentage of Total Share Capital Sought
PTYA,Party A
PTYB,Party B
PUTT,Put Date
PVAD,Prepayment Value Date/Time
PWAL,Period of Action
QAGE,Quotation Age
QINS,Instructed Quantity
QINT,Quantity of Intermediate Securities
QOVE,Quantity Instructed to be Received Over and Above Normal Ensured Entitlement
QREC,Quantity to Receive
QREG,Quantity of Financial Instrument to be Registered
QSEC,Quantity of Securities
QTSO,Quantity Sought
QUOT,Quotation Setting Date
RADD,Basic Amount
RALA,Remaining Collateralised Amount
RATE,Applicable Rate
RATS,Source of Rating
RCHG,Redemption Charges Flag
RCTR,Receiver's Collateral Transaction Reference
RDDT,Response Deadline Date
RDIS,Reinvestment Discount Rate to Market
RDTE,Record Date
REAG,Receiving Agent
REAS,Reason Narrative
RECA,Reported Currency and Amount
RECT,Recipient Type
RECU,Receiver's Custodian
REDE,Receive/Deliver Indicator
REDM,Redemption Date
REDP,Redemption Premium Amount
REFD,Expected Refund
REGE,Regulatory Fees
REGF,Regulatory Fees
REGI,Registration Details Narrative
REGO,Out for Registration
REGR,Registrar
REGT,Registration Override Indicator
REI1,Receiver's Intermediary 1
REI2,Receiver's Intermediary 2
REI3,Receiver's Intermediary 3
REI4,Receiver's Intermediary 4
REI5,Receiver's Intermediary 5
REI6,Receiver's Intermediary 6
REI7,Receiver's Intermediary 7
REI8,Receiver's Intermediary 8
REI9,Receiver's Intermediary 9
REIN,Reinvestment Price
REJT,Rejection Reason
RELA,Related Reference
RELC,Liability/Collateral in Reporting Currency
RELD,Release Date/Time
REMA,Quantity of Financial Instrument Remaining on Order
REMI,Quantity of Financial Instrument Remaining on Order
REPA,Repurchase Amount
REPL,Reply Period
REPO,Repurchase Rate
REPP,Repurchase Premium Amount
REPR,Collateral Receive/Provide Indicator
REPT,Repurchase Type Indicator
REPU,Repurchase Date/Time
REQU,Requested Message Type
RERA,Rate Change Date/Time
RERC,Registration Processing Status
RERT,Repurchase Rate Type
RESI,Country of Residence
REST,Restrictions
RESU,Resulting Amount
REVA,Revaluation Indicator
REVO,Revocability Period
RHDI,Intermediate Securities Distribution Type
RINR,Related Index Rate
RMAG,Required Margin Amount
RMOD,Requested Modification Date
RMTH,Rounding Method Requested
RODI,Currency and Increase/Decrease Amount
ROUN,Rounding Integer Amount
RPOR,Reporting Indicator
RPRC,Replacement Processing Status
RQBR,Requested Broker
RREA,Registration Reason Indicator
RREG,Requested Registration Date
RSET,Requested Settlement Date
RSPR,Repurchase Spread Rate
RSTR,Restricted
RSTT,Quantity of Financial Instrument Remaining to be Settled
RTGS,Securities Real-Time Gross Settlement Override Indicator
RTRN,Delivery Return Types Indicator
RTUN,Rights to Underlying
RVAL,Requested Value Date/Time
SAFE,Safekeeping Account
SCOL,Collateral Settlement Type Indicator
SCTR,Sender's Collateral Transaction Reference
SEAD,Sell Thru Issuer Period
SEBL,Settlement Amount of Block Trade
SECO,Second Leg Reference
SECU,Securities Flag
SECV,Quantity of Securities Valued
SELL,Seller
SEME,Sender's Reference
SETG,Settlement Instruction Generation Indicator
SETR,Type of Settlement Transaction
SETS,Settlement System Indicator
SETT,Settlement Status
SFRE,Statement Frequency Indicator
SHAI,Securities Haircurt
SHAR,Shareholder Number
SHIP,Shipping
SIZE,Contract Size
SLMG,Stock Loan Margin
SMAF,Securities Movements Approved Flag
SNUM,Street Number
SOFE,Solicitation Fee Rate
SOIC,Sundry Other Income
SPCN,Special Concessions
SPLT,Deadline to Split
SPOS,Street Position
SPRC,Request for Statement/Status Advice Status
SPRO,Settlement Instruction Processing Narrative
STAM,Stamp Duty Indicator
STAQ,Status Quantity
STAT,Statement Number
STBA,Statement Basis
STBR,Step-In Broker
STCO,Settlement Transaction Condition
STEX,Stock Exchange Tax
STIN,Standing Instruction Indicator
STOP,Stop Price
STRT,Start Date
STST,Statement Structure Type Indicator
STTY,Statement Type
SUBB,Sub-Balance Details Narrative
SUBS,Subscription Date
SUPR,Subscription Price
SUSP,Suspension of Privilege
SWRT,Switch Rate
SXDT,Special Ex-Date/Time
TACR,Total Accrued Interest Amount
TAKO,Take-over Type
TAPC,Termination Amount per Piece of Collateral
TAVI,Total Available
TAVO,Tax Voucher Reference
TAXB,Requested Taxation Rate
TAXC,Tax Credit Rate
TAXE,Tax Account
TAXR,Withholding Tax Rate
TCHA,Total Fees/Commissions
TCMV,Triparty's Cash Movement Reference
TCOP,Total Collateral Hel Value of Page
TCOR,Total Collateral Required
TCPI,Tax Capacity Party Indicator
TCRL,Total Credit Line Amount
TCTR,Triparty Agent Collateral Transaction Reference 
TDMT,Taxable Income Per Dividend/Share
TDTA,TID/TIS Calculated Indicator
TEMP,Temporary Indicator
TERM,Closing Date/Time
TEXA,Total Exposure Amount
TEXP,Total Exposure Value of Page
THRS,Secured Threshold Amount
THRU,Unsecured Threshold Amount
TILI,Time Limit
TITL,Title of Correspondence
TLDE,Type of Loan/Deposit Event
TOAL,Total Number of Allocations
TOBA,Balance To
TOCO,Total Number of Collateral Instructions
TODE,Total of Linked Delivery Instructions
TOOR,Type of Order
TORE,Total of Linked Receipt Instructions
TOSE,Total of Linked Settlement Instructions
TOVA,Total Eligible Collateral Value
TPIN,Total Pending Collateral In
TPOU,Total Pending Collateral Out
TPRC,Processing Change Command Status
TPRI,Total of Principals
TPRO,Trade Instruction Processing Narrative
TQBT,Quantity of Block Trade
TRAA,Transaction Amount
TRAD,Place of Trade
TRAG,Triparty Agent
TRAK,Tracking Indicator
TRAN,Transfer Tax
TRAX,Transaction Tax
TRCA,Party Capacity Indicator
TRCI,Triparty's Collateral Instruction Reference
TRCN,Trade Regulatory Conditions
TRDE,Transaction Details Narrative
TRDP,Trading Period
TRDT,Trading Resumed Date
TREX,Transaction Execution Status
TRRE,Trade Regulator
TRRF,Deal Reference
TRSE,Trading Session Indicator
TRTE,Termination Transaction Amount
TRTR,Trade Transaction Type
TRUS,Trustee/Third Party
TSDT,Trading Suspended Date
TSMT,Taxable Income Per Share
TSMV,Triparty's Securities Movement Reference
TSTA,TIS Calculated Indicator
TTCO,Trade Transaction Condition Indicator
TVOC,Total Value of Own Collateral
TVRC,Total Value of Reused Collateral
TXDF,Tax Deferred
TXFR,Tax Free Amount
TXIN,Tax on Income
TXNR,Narrative Version
TXPR,Tax on Profits
TXRC,Reclaim of Taxes Rate
TYCO,Type of Collateralisation Indicator
TYPP,Type of Position Flag
UBLK,Unblocking Date
UNBA,Uninstructed Balance
UNCO,Unconditional Date
UNDL,Underlying Quantity
UNFR,Unfranked Amount
UNRG,Unregistered
UTIN,U.S.Tax Identification Flag
VAFC,Valuation Factor
VAHA,Source of Haircut
VALC,Date/Time of Valuation of the Collateral
VALE,Date/Time of Valuation of the Exposure
VALN,Valuation Date/Time
VALU,Value Date/Time
VASO,Value Sought Amount
VASU,Variable Rate Support
VATA,Value Added Tax
VEND,Vendor
VERN,Version Number
VSMR,Value Sought Margin Rate
WEBB,Web Site Address
WITF,Withholding of Foreign Tax
WITH,Withholding Tax
WITL,Withholding of Local Tax
WRTS,Warrants Attached on Delivery Flag
WTHD,Withdrawal Allowed Flag
WUCO,Wholly Unconditional Date
XCPN,Ex-coupon Presentation Date
XDTE,Ex-Dividend or Distribution Date
ZWIS,Zwischengewinn
